name,name_punch,name_gov,Twitter Handle,St/Dis,Party,progressive_score,state_tilt,rank,score
"Hagerty, Bill","Hagerty, Bill",,SenatorHagerty,TN,R,3.67,Strong Rep,,
"Hassan, Maggie","Hassan, Maggie","Hassan, Margaret",SenatorHassan,NH,D,85.23,Leans Dem,#60,0.46
"Hawley, Josh","Hawley, Josh","Hawley, Joshua",HawleyMO,MO,R,1.74,Strong Rep,#28,0.82
"Heinrich, Martin","Heinrich, Martin","Heinrich, Martin",MartinHeinrich,NM,D,94.51,Leans Dem,#78,0.24
"Hickenlooper, John","Hickenlooper, John",,SenatorHick,CO,D,98.33,Strong Dem,,
"Hirono, Mazie","Hirono, Mazie","Hirono, Mazie",maziehirono,HI,D,97.99,Strong Dem,#94,0.12
"Hoeven, John","Hoeven, John","Hoeven, John",SenJohnHoeven,ND,R,6.99,Strong Rep,#26,0.83
"Hyde-Smith, Cindy","Hyde-Smith, Cindy",,SenHydeSmith,MS,R,4.5,Strong Rep,,
"Inhofe, Jim","Inhofe, Jim",,JimInhofe,OK,R,2.86,Strong Rep,,
"Johnson, Ron","Johnson, Ron","Johnson, Ron",SenRonJohnson,WI,R,2.88,Swing,#39,0.73
"Kaine, Tim","Kaine, Tim","Kaine, Timothy",timkaine,VA,D,88.45,Leans Dem,#73,0.27
"Kelly, Mark","Kelly, Mark","Kelly, Mark",SenMarkKelly,AZ,D,93.87,Swing,#57,0.49
"Kennedy, John","Kennedy, John","Kennedy, John",SenJohnKennedy,LA,R,4.44,Strong Rep,#18,0.86
"King, Angus","King, Angus","King, Angus",SenAngusKing,ME,I,84.08,Leans Dem,#58,0.49
"Klobuchar, Amy","Klobuchar, Amy","Klobuchar, Amy",SenAmyKlobuchar,MN,D,92.46,Leans Dem,#87,0.19
"Lankford, James","Lankford, James","Lankford, James",SenatorLankford,OK,R,2.0,Strong Rep,#15,0.88
"Leahy, Patrick","Leahy, Pat","Leahy, Patrick",SenatorLeahy,VT,D,92.82,Strong Dem,#82,0.23
"Lee, Mike","Lee, Mike","Lee, Mike",SenMikeLee,UT,R,6.71,Strong Rep,#41,0.72
"Luján, Ben Ray","Lujan, Ben",,SenatorLujan,NM,D,97.91,Leans Dem,,
"Lummis, Cynthia","Lummis, Cynthia",,SenLummis,WY,R,3.62,Strong Rep,,
"Manchin, Joe","Manchin, Joe","Manchin, Joe",Sen_JoeManchin,WV,D,68.86,Strong Rep,#54,0.57
"Markey, Ed","Markey, Ed","Markey, Edward",SenMarkey,MA,D,98.92,Strong Dem,#95,0.1
"Marshall, Roger","Marshall, Roger",,SenatorMarshall,KS,R,1.56,Strong Rep,,
"McConnell, Mitch","McConnell, Mitch",,senatemajldr,KY,R,5.8,Strong Rep,,
"Menendez, Bob","Menendez, Bob",,SenatorMenendez,NJ,D,94.81,Strong Dem,,
"Merkley, Jeff","Merkley, Jeff","Merkley, Jeff",SenJeffMerkley,OR,D,98.01,Strong Dem,#97,0.08
"Moran, Jerry","Moran, Jerry","Moran, Jerry",JerryMoran,KS,R,7.7,Strong Rep,#31,0.8
"Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa",lisamurkowski,AK,R,26.61,Strong Rep,#55,0.57
"Murphy, Chris","Murphy, Chris","Murphy, Christopher",ChrisMurphyCT,CT,D,90.03,Strong Dem,#80,0.24
"Murray, Patty","Murray, Patty","Murray, Patty",PattyMurray,WA,D,92.78,Strong Dem,#84,0.21
"Ossoff, Jon","Ossoff, Jon",,ossoff,GA,D,97.82,Swing,,
"Padilla, Alex","Padilla, Alex",,SenAlexPadilla,CA,D,99.3,Strong Dem,,
"Paul, Rand","Paul, Rand1","Paul, Rand",RandPaul,KY,R,9.52,Strong Rep,#49,0.66
"Peters, Gary","Peters, Gary","Peters, Gary",SenGaryPeters,MI,D,90.06,Swing,#59,0.46
"Portman, Rob","Portman, Rob","Portman, Robert",senrobportman,OH,R,14.47,Strong Rep,#48,0.66
"Reed, Jack","Reed, Jack",,SenJackReed,RI,D,95.46,Strong Dem,,
"Risch, Jim",,,SenatorRisch,ID,R,,,,
"Romney, Mitt","Romney, Mitt","Romney, Mitt",SenatorRomney,UT,R,17.32,Strong Rep,#38,0.73
"Rosen, Jacky","Rosen, Jacky","Rosen, Jacky",SenJackyRosen,NV,D,88.76,Swing,#66,0.34
"Rounds, Mike","Rounds, Mike","Rounds, Mike",SenatorRounds,SD,R,10.1,Strong Rep,#16,0.88
"Rubio, Marco","Rubio, Marco","Rubio, Marco",marcorubio,FL,R,4.1,Leans Rep,#11,0.9
"Sanders, Bernie","Sanders, Bernie","Sanders, Bernard",SenSanders,VT,I,96.31,Strong Dem,#100,0.0
"Sasse, Ben","Sasse, Ben","Sasse, Benjamin",SenSasse,NE,R,3.88,Strong Rep,#35,0.76
"Schatz, Brian","Schatz, Brian","Schatz, Brian",SenBrianSchatz,HI,D,96.47,Strong Dem,#77,0.25
"Schumer, Chuck","Schumer, Chuck","Schumer, Charles",SenSchumer,NY,D,94.84,Strong Dem,#70,0.29
"Scott, Rick","Scott, Rick","Scott, Rick",SenRickScott,FL,R,1.01,Leans Rep,#12,0.9
"Scott, Tim","Scott, Tim","Scott, Tim",SenatorTimScott,SC,R,2.62,Strong Rep,#22,0.84
"Shaheen, Jeanne","Shaheen, Jeanne","Shaheen, Jeanne",SenatorShaheen,NH,D,89.03,Leans Dem,#63,0.36
"Shelby, Richard","Shelby, Richard","Shelby, Richard",SenShelby,AL,R,9.29,Strong Rep,#52,0.61
"Sinema, Kyrsten","Sinema, Kyrsten","Sinema, Kyrsten",SenatorSinema,AZ,D,76.84,Swing,#47,0.68
"Smith, Tina","Smith, Tina","Smith, Tina",SenTinaSmith,MN,D,94.61,Leans Dem,#81,0.24
"Stabenow, Debbie","Stabenow, Debbie Ann","Stabenow, Debbie",SenStabenow,MI,D,93.18,Swing,#75,0.26
"Sullivan, Dan","Sullivan, Dan","Sullivan, Dan",SenDanSullivan,AK,R,6.08,Strong Rep,#43,0.71
"Tester, Jon","Tester, Jon","Tester, Jon",SenatorTester,MT,D,86.26,Strong Rep,#56,0.49
"Thune, John","Thune, John","Thune, John",SenJohnThune,SD,R,4.73,Strong Rep,#33,0.8
"Tillis, Thom","Tillis, Thom","Tillis, Thom",SenThomTillis,NC,R,10.78,Leans Rep,#9,0.91
"Toomey, Pat","Toomey, Pat","Toomey, Patrick",SenToomey,PA,R,5.96,Swing,#37,0.74
"Tuberville, Tommy","Tuberville, Tommy",,SenTuberville,AL,R,0.99,Strong Rep,,
"Van Hollen, Chris","Van Hollen, Chris","Van, Chris",ChrisVanHollen,MD,D,95.05,Strong Dem,#91,0.16
"Warner, Mark","Warner, Mark","Warner, Mark",MarkWarner,VA,D,86.31,Leans Dem,#62,0.4
"Warnock, Raphael","Warnock, Raphael",,SenatorWarnock,GA,D,97.87,Swing,,
"Warren, Elizabeth","Warren, Elizabeth","Warren, Elizabeth",SenWarren,MA,D,98.84,Strong Dem,#85,0.21
"Whitehouse, Sheldon","Whitehouse, Sheldon","Whitehouse, Sheldon",SenWhitehouse,RI,D,94.17,Strong Dem,#83,0.22
"Wicker, Roger","Wicker, Roger","Wicker, Roger",SenatorWicker,MS,R,7.94,Strong Rep,#21,0.84
"Wyden, Ron","Wyden, Ron","Wyden, Ron",RonWyden,OR,D,92.68,Strong Dem,#88,0.19
"Young, Todd","Young, Todd","Young, Todd",SenToddYoung,IN,R,9.45,Strong Rep,#34,0.77
